,Year,Season,Sex,City,Sport,Player_Count
1346,2016,Summer,F,Rio de Janeiro,Judo,152
1347,2016,Summer,F,Rio de Janeiro,Modern Pentathlon,36
1348,2016,Summer,F,Rio de Janeiro,Rhythmic Gymnastics,96
1349,2016,Summer,F,Rio de Janeiro,Rowing,219
1350,2016,Summer,F,Rio de Janeiro,Rugby Sevens,148
1351,2016,Summer,F,Rio de Janeiro,Sailing,163
1352,2016,Summer,F,Rio de Janeiro,Shooting,214
1353,2016,Summer,F,Rio de Janeiro,Swimming,761
1354,2016,Summer,F,Rio de Janeiro,Synchronized Swimming,118
1355,2016,Summer,F,Rio de Janeiro,Table Tennis,118
1356,2016,Summer,F,Rio de Janeiro,Taekwondo,64
1357,2016,Summer,F,Rio de Janeiro,Tennis,143
1358,2016,Summer,F,Rio de Janeiro,Trampolining,16
1359,2016,Summer,F,Rio de Janeiro,Triathlon,55
1360,2016,Summer,F,Rio de Janeiro,Volleyball,142
1361,2016,Summer,F,Rio de Janeiro,Water Polo,104
1362,2016,Summer,F,Rio de Janeiro,Weightlifting,103
1363,2016,Summer,F,Rio de Janeiro,Wrestling,112
1364,2016,Summer,M,Rio de Janeiro,Archery,100
1365,2016,Summer,M,Rio de Janeiro,Athletics,1300
1366,2016,Summer,M,Rio de Janeiro,Badminton,89
1367,2016,Summer,M,Rio de Janeiro,Basketball,141
1368,2016,Summer,M,Rio de Janeiro,Beach Volleyball,48
1369,2016,Summer,M,Rio de Janeiro,Boxing,247
1370,2016,Summer,M,Rio de Janeiro,Canoeing,279
1371,2016,Summer,M,Rio de Janeiro,Cycling,400
1372,2016,Summer,M,Rio de Janeiro,Diving,89
1373,2016,Summer,M,Rio de Janeiro,Equestrianism,224
1374,2016,Summer,M,Rio de Janeiro,Fencing,172
1375,2016,Summer,M,Rio de Janeiro,Football,270
1376,2016,Summer,M,Rio de Janeiro,Golf,60
1377,2016,Summer,M,Rio de Janeiro,Gymnastics,478
1378,2016,Summer,M,Rio de Janeiro,Handball,177
1379,2016,Summer,M,Rio de Janeiro,Hockey,196
1380,2016,Summer,M,Rio de Janeiro,Judo,237
1381,2016,Summer,M,Rio de Janeiro,Modern Pentathlon,36
1382,2016,Summer,M,Rio de Janeiro,Rowing,331
1383,2016,Summer,M,Rio de Janeiro,Rugby Sevens,151
1384,2016,Summer,M,Rio de Janeiro,Sailing,217
1385,2016,Summer,M,Rio de Janeiro,Shooting,341
1386,2016,Summer,M,Rio de Janeiro,Swimming,807
1387,2016,Summer,M,Rio de Janeiro,Table Tennis,118
1388,2016,Summer,M,Rio de Janeiro,Taekwondo,62
1389,2016,Summer,M,Rio de Janeiro,Tennis,143
1390,2016,Summer,M,Rio de Janeiro,Trampolining,16
1391,2016,Summer,M,Rio de Janeiro,Triathlon,55
1392,2016,Summer,M,Rio de Janeiro,Volleyball,141
1393,2016,Summer,M,Rio de Janeiro,Water Polo,154
1394,2016,Summer,M,Rio de Janeiro,Weightlifting,152
1395,2016,Summer,M,Rio de Janeiro,Wrestling,234
