objectId,Number,ACL,City,updatedAt,Remarks,Address,Country,VenueName,createdAt,Category
bstVDdcvYs,3,null,Tokyo,Fri Jan 24 2020 06:38:10 GMT+1100 (Australian Eastern Daylight Time),,"2 Chome-1-1 Jinnan, Shibuya City, Tokyo 150-0041, Japan",Japan,Yoyogi National Stadium,Fri Jan 24 2020 06:38:10 GMT+1100 (Australian Eastern Daylight Time),Handball
2GGNp2C2pY,1,null,Tokyo,Fri Jan 24 2020 06:38:10 GMT+1100 (Australian Eastern Daylight Time),"Opening, Closing Ceremonies, and Soccer","10-2, Kasumigaoka-machi, Shinjuku, Tokyo, Japan",Japan,Olympic Stadium,Fri Jan 24 2020 06:38:10 GMT+1100 (Australian Eastern Daylight Time),Athletics
VSEGONvmP7,11,null,Tokyo,Fri Jan 24 2020 06:38:10 GMT+1100 (Australian Eastern Daylight Time),,"1 Chome-11 Ariake, Koto City, Tokyo 135-0063, Japan",Japan,Ariake Arena,Fri Jan 24 2020 06:38:10 GMT+1100 (Australian Eastern Daylight Time),Volleyball
R6qdnutp3g,16,null,Tokyo,Fri Jan 24 2020 06:38:10 GMT+1100 (Australian Eastern Daylight Time),Beach Volleyball,"1 Higashiyashio, Shinagawa City, Tokyo 135-0092, Japan",Japan,Shiokaze Park,Fri Jan 24 2020 06:38:10 GMT+1100 (Australian Eastern Daylight Time),Volleyball
gcIUYN0tkr,5,null,Tokyo,Fri Jan 24 2020 06:38:10 GMT+1100 (Australian Eastern Daylight Time),,"3 Chome-5-1 Marunouchi, Chiyoda City, Tokyo 100-0005, Japan",Japan,Tokyo International Forum,Fri Jan 24 2020 06:38:10 GMT+1100 (Australian Eastern Daylight Time),Weightlifting
Sz7JB4wcrf,30,null,Tokyo,Fri Jan 24 2020 06:38:10 GMT+1100 (Australian Eastern Daylight Time),,"4 _izumigakuench_, Nerima City, Tokyo 178-0061, Japan",Japan,Asaka Shooting Range,Fri Jan 24 2020 06:38:10 GMT+1100 (Australian Eastern Daylight Time),Shooting
f4BX8iV1ef,8,null,Tokyo,Fri Jan 24 2020 06:38:10 GMT+1100 (Australian Eastern Daylight Time),Badminton and Modern Pentathlon (Fencing),"290-11 Nishimachi, Chofu, Tokyo 182-0032, Japan",Japan,Musashino Forest Sport Plaza,Fri Jan 24 2020 06:38:10 GMT+1100 (Australian Eastern Daylight Time),Badminton
Ex94awDwGx,17,null,Tokyo,Fri Jan 24 2020 06:38:10 GMT+1100 (Australian Eastern Daylight Time),3x3 Basketball and Sport Climbing,"1 Chome-1 Aomi, Koto City, Tokyo 135-0064, Japan",Japan,Aomi Urban Sports Park,Fri Jan 24 2020 06:38:10 GMT+1100 (Australian Eastern Daylight Time),Basketball
N2nPGbb4uw,14,null,Tokyo,Fri Jan 24 2020 06:38:10 GMT+1100 (Australian Eastern Daylight Time),,"2 Chome-2-22 Ariake, Koto City, Tokyo 135-0063, Japan",Japan,Ariake Tennis Park,Fri Jan 24 2020 06:38:10 GMT+1100 (Australian Eastern Daylight Time),Tennis
hAvngIv0LR,10,null,Tokyo,Fri Jan 24 2020 06:38:10 GMT+1100 (Australian Eastern Daylight Time),"Cycling (Road, Road Race, Start)","3 Chome-5-12 Asahicho, ___ Tokyo 183-0003, Tokyo, Japan",Japan,Musashinonomori Park,Fri Jan 24 2020 06:38:10 GMT+1100 (Australian Eastern Daylight Time),Cycling
dTLYv0czsI,4,null,Tokyo,Fri Jan 24 2020 06:38:10 GMT+1100 (Australian Eastern Daylight Time),Judo and Karate,"2-3 Kitanomarukoen, Chiyoda City, Tokyo 102-8321, Japan",Japan,Nippon Budokan,Fri Jan 24 2020 06:38:10 GMT+1100 (Australian Eastern Daylight Time),Judo
